word	number_stories_observed	number_words_read	condition	number_observed	baseline_prob_3_word_265	baseline_prob_3_word_100	baseline_prob_3_word_30	baseline_prob_2_word_100	baseline_prob_1_word_100	baseline_prob_2_word_30	baseline_prob_1_word_30
end	1	265	Chain	1	0.11393387158356026	0.12906912131878906	0.15009727691995667	0.10739584567756094	0.059568336472563904	0.12540137447280247	0.07018581151529688
lifestyl	1	265	Chain	1	0.11203919302617162	0.12695881269443257	0.14770146100898593	0.18550427722013263	0.187848913191032	0.21347328214789205	0.21607764351003725
common	1	265	Chain	1	0.11090276165905011	0.12569247058169392	0.14626288460506026	0.12789955309256507	0.08843373599829073	0.1487697095134831	0.10362924524741163
also	1	265	Chain	1	0.10957793412160848	0.12421565075446726	0.1445843418733773	0.14544394197625102	0.11694662945485383	0.16862338774717356	0.1363088772152914
first	1	265	Chain	1	0.10484126336703854	0.11893075536103227	0.1385699556700547	0.12115807525756758	0.08366133867744963	0.1411061715241548	0.09812508266142374
now	1	265	Chain	1	0.10444026578218833	0.11848300100332267	0.1380598488357778	0.10117535376442811	0.05760708670393807	0.11827617300348182	0.0679002277140228
attack	1	265	Chain	1	0.09838738107092203	0.11171778818279483	0.1303421062520436	0.1364719690767209	0.11408405001350908	0.15848673301274133	0.13304376106939195
thousand	1	265	Chain	1	0.09645772229695236	0.10955845139014594	0.127874611123781	0.10257554553747625	0.06441741166407833	0.1198814623467223	0.07582949624184444
current	1	265	Chain	1	0.09036051446060596	0.10272728222029238	0.12005537439186946	0.10500181690858694	0.07231961354476961	0.12266112945350233	0.08500444464724081
gore	1	265	Chain	1	0.090211256563024	0.10255989999573524	0.11986352974313035	0.08904154388619522	0.05142311455460079	0.10432953919691887	0.060682462744988515
miracl	1	265	Chain	1	0.08929176717817307	0.1015285915482761	0.11868123214778943	0.1109543929746754	0.08204427722318326	0.12946999570368845	0.09625782363260538
ox	1	265	Chain	1	0.08493477192716921	0.0966378595775502	0.11306822134528037	0.08449630430702942	0.04909923675901616	0.09908879121393681	0.057965713086598834
industri	1	265	Chain	1	0.08425660496107708	0.09587603918712678	0.11219296260756863	0.08868292536534479	0.054737036455844726	0.10391637150129332	0.06455248864850478
70	1	265	Chain	1	0.08420116335461864	0.09581375185289616	0.11212138931890653	0.08063737037104853	0.04495941346006665	0.09463230768041218	0.05312007104381626
worldwid	1	265	Chain	1	0.0816030923598593	0.09289371365294774	0.1087641397013288	0.08290645304569554	0.0492016215648927	0.09725354021808534	0.058085457434353706
might	1	265	Chain	1	0.07795964833749211	0.08879490142292751	0.10404538614437749	0.07698580479483627	0.044243517656519196	0.09040932014204749	0.052281345240796806
call	1	265	Chain	1	0.07642442023817987	0.08706644754148245	0.10205331899390939	0.1052480173058484	0.08598702969519072	0.1229430482420446	0.10080861615282181
shrimp	1	265	Chain	1	0.07321395302869427	0.08344931928605899	0.09788032376820287	0.09147350157876977	0.0673355276242454	0.10712994701450936	0.07922080639178025
popul	1	265	Chain	1	0.06947105645895708	0.07922789469227502	0.09300295770916947	0.08104081374484963	0.05536351195700546	0.09509852750051591	0.06528354519934522
routin	1	265	Chain	1	0.06722016354523618	0.07668692853559332	0.09006341572279279	0.06815436819581615	0.040089227496862584	0.08017175514096053	0.047409772541552105
right	1	265	Chain	1	0.06528450425488776	0.07450043866323855	0.08753169316156231	0.062233406889198616	0.03426134267542633	0.07328888568681728	0.040562649224861164
ii	1	265	Chain	1	0.06497898598536966	0.07415521328127898	0.08713176763372475	0.06915438190222328	0.04277258076360777	0.08133270708659773	0.05055731544259742
quickli	1	265	Chain	1	0.064194266380062745	0.07326836046316196	0.08610415579583876	0.06908741336526077	0.04322139412898843	0.08125497462283336	0.0510834549270121
cant	1	265	Chain	1	0.06312582781023575	0.07206052389256538	0.08470406016680371	0.065121850060226	0.03893913557030914	0.0766485076775604	0.04605974377493662
golden	1	265	Chain	1	0.06276106771435412	0.07164808466273763	0.08422582386967944	0.07292006404007681	0.049411719139898454	0.08570048441368562	0.058331162878788624
mostli	1	265	Chain	1	0.062422790577307485	0.07126554944724285	0.08378219553612556	0.07616292037553872	0.05431556406113944	0.08945686062475323	0.06406055973233943
sure	1	265	Chain	1	0.06177652582031661	0.07053462270204604	0.08293435698706772	0.06293020577517963	0.037106771073283466	0.0740996866982931	0.0439076122572915
becam	1	265	Chain	1	0.061622511078479776	0.07036041065321273	0.08273224510827558	0.09298744337159322	0.08260989126688632	0.10887196074384087	0.09691108110919172
fruit	1	265	Chain	1	0.060464692693504456	0.06905049770779119	0.08121212462887457	0.06818348893601245	0.04471563032886366	0.08020556866843724	0.05283448639005902
alli	1	265	Chain	1	0.05989449951974359	0.06840523372665157	0.08046303525800351	0.06610871553000522	0.04237668222162645	0.07779551406161686	0.05009313293822366
know	1	265	Chain	1	0.059239157653067843	0.06766347310887741	0.07960169655528383	0.0651606791663878	0.04160357006711718	0.07669364577192654	0.04918647408292275
100	1	265	Chain	1	0.0576345165535125	0.0658466102517246	0.07749091815756191	0.07065835935932523	0.050492758154339845	0.08307790181741734	0.05959510921639436
europ	1	265	Chain	1	0.05721511139287134	0.06537159133734358	0.076938815550175	0.06163536681093954	0.038459526662534	0.07259283053906351	0.045496583035800085
game	1	265	Chain	1	0.05713418671143452	0.065279928987451	0.07683226726267879	0.05917533209753153	0.035429861993700046	0.06972795171449984	0.04193674878140873
shot	1	265	Chain	1	0.05650935456310756	0.0645721140820731	0.07600937888175838	0.06053746151531687	0.03754107677984861	0.07131457469075081	0.04441784464080952
climat	1	265	Chain	1	0.055196982896334505	0.06308501324323262	0.07427979290747141	0.06413843332387882	0.04327569027029584	0.07550508320262239	0.051147099670094405
