,condition,layer_n,k,story_merged
390,Multiple-pathway,4,2,0.7262837290763855
391,Multiple-pathway,4,2,0.48979100584983826
392,Multiple-pathway,4,2,0.6427435278892517
393,Multiple-pathway,4,2,0.4728015959262848
394,Multiple-pathway,4,2,0.5936594605445862
395,Multiple-pathway,4,2,0.6491044759750366
396,Multiple-pathway,4,2,0.4960498809814453
397,Multiple-pathway,4,2,0.682597279548645
398,Multiple-pathway,4,2,0.5063652396202087
399,Multiple-pathway,4,2,0.5222921371459961
400,Multiple-pathway,4,2,0.6720989346504211
401,Multiple-pathway,4,2,0.5880109667778015
402,Multiple-pathway,4,2,0.5390862226486206
403,Multiple-pathway,4,2,0.4868967831134796
404,Multiple-pathway,4,2,0.5387292504310608
405,Multiple-pathway,4,2,0.45961084961891174
406,Multiple-pathway,4,2,0.8976600170135498
407,Multiple-pathway,4,2,0.430331826210022
408,Multiple-pathway,4,2,0.5107108950614929
409,Multiple-pathway,4,2,0.4989481270313263
410,Multiple-pathway,4,2,0.6119645833969116
411,Multiple-pathway,4,2,0.5746902823448181
412,Multiple-pathway,4,2,0.5718309879302979
413,Multiple-pathway,4,2,0.698583722114563
414,Multiple-pathway,4,2,0.7484558820724487
415,Multiple-pathway,4,2,0.6686977744102478
416,Multiple-pathway,4,2,0.6519134640693665
417,Multiple-pathway,4,2,0.4509715139865875
418,Multiple-pathway,4,2,0.42753663659095764
419,Multiple-pathway,4,2,0.5028921961784363
420,Multiple-pathway,4,2,0.6531754732131958
421,Multiple-pathway,4,2,0.5372716784477234
422,Multiple-pathway,4,2,0.4032960534095764
423,Multiple-pathway,4,2,0.5582016706466675
424,Multiple-pathway,4,2,0.6914904713630676
425,Multiple-pathway,4,2,0.5264086723327637
426,Multiple-pathway,4,2,0.6147376298904419
427,Multiple-pathway,4,2,0.3594391942024231
428,Multiple-pathway,4,2,0.7052532434463501
429,Multiple-pathway,4,2,0.6785061359405518
430,Multiple-pathway,4,2,0.34871548414230347
431,Multiple-pathway,4,2,0.6710900068283081
432,Multiple-pathway,4,2,0.7999791502952576
433,Multiple-pathway,4,2,0.47693338990211487
434,Multiple-pathway,4,2,0.5451115369796753
435,Multiple-pathway,4,2,0.5796944499015808
436,Multiple-pathway,4,2,0.6135492920875549
437,Multiple-pathway,4,2,0.664077639579773
438,Multiple-pathway,4,2,0.6254549622535706
439,Multiple-pathway,4,2,0.7274014949798584
440,Multiple-pathway,4,2,0.4080621302127838
441,Multiple-pathway,4,2,0.5553537011146545
442,Multiple-pathway,4,2,0.4612899124622345
443,Multiple-pathway,4,2,0.6862845420837402
444,Multiple-pathway,4,2,0.7703091502189636
445,Multiple-pathway,4,2,0.6330234408378601
446,Multiple-pathway,4,2,0.825136125087738
447,Multiple-pathway,4,2,0.636604368686676
448,Multiple-pathway,4,2,0.7021183967590332
449,Multiple-pathway,4,2,0.7204497456550598
450,Multiple-pathway,4,2,0.660743772983551
451,Multiple-pathway,4,2,0.5509225130081177
452,Multiple-pathway,4,2,0.6592982411384583
453,Multiple-pathway,4,2,0.7971311211585999
454,Multiple-pathway,4,2,0.7683506011962891
455,Multiple-pathway,4,2,0.7394142746925354
456,Multiple-pathway,4,2,0.6378536820411682
457,Multiple-pathway,4,2,0.7278703451156616
458,Multiple-pathway,4,2,0.5639504790306091
459,Multiple-pathway,4,2,0.6149955987930298
460,Multiple-pathway,4,2,0.6950032114982605
461,Multiple-pathway,4,2,0.5969536304473877
462,Multiple-pathway,4,2,0.7777081727981567
463,Multiple-pathway,4,2,0.7315948605537415
464,Multiple-pathway,4,2,0.7907517552375793
465,Multiple-pathway,4,2,0.6067813038825989
466,Multiple-pathway,4,2,0.6479933261871338
467,Multiple-pathway,4,2,0.7250221967697144
468,Multiple-pathway,4,2,0.7412371635437012
469,Multiple-pathway,4,2,0.6193628311157227
470,Multiple-pathway,4,2,0.7819241881370544
471,Multiple-pathway,4,2,0.6443472504615784
472,Multiple-pathway,4,2,0.7962337732315063
473,Multiple-pathway,4,2,0.5396760702133179
474,Multiple-pathway,4,2,0.6889352202415466
475,Multiple-pathway,4,2,0.8001927137374878
476,Multiple-pathway,4,2,0.7596293091773987
477,Multiple-pathway,4,2,0.7804216742515564
478,Multiple-pathway,4,2,0.7785513401031494
479,Multiple-pathway,4,2,0.7669243812561035
480,Multiple-pathway,4,2,0.7841829061508179
481,Multiple-pathway,4,2,0.6605604887008667
482,Multiple-pathway,4,2,0.7763232588768005
483,Multiple-pathway,4,2,0.6287484765052795
484,Multiple-pathway,4,2,0.779067873954773
485,Multiple-pathway,4,2,0.8425755500793457
486,Multiple-pathway,4,2,0.8322619795799255
487,Multiple-pathway,4,2,0.5157597661018372
488,Multiple-pathway,4,2,0.558189332485199
489,Multiple-pathway,4,2,0.575573205947876
490,Multiple-pathway,4,2,0.5784620642662048
491,Multiple-pathway,4,2,0.6501197218894958
492,Multiple-pathway,4,2,0.6396990418434143
493,Multiple-pathway,4,2,0.6662012338638306
494,Multiple-pathway,4,2,0.690476655960083
495,Multiple-pathway,4,2,0.906674325466156
496,Multiple-pathway,4,2,0.5409046411514282
497,Multiple-pathway,4,2,0.49603790044784546
498,Multiple-pathway,4,2,0.7134450674057007
499,Multiple-pathway,4,2,0.5872646570205688
500,Multiple-pathway,4,2,0.5825550556182861
501,Multiple-pathway,4,2,0.48599085211753845
502,Multiple-pathway,4,2,0.5744699835777283
503,Multiple-pathway,4,2,0.4143242835998535
504,Multiple-pathway,4,2,0.9208244681358337
505,Multiple-pathway,4,2,0.43094754219055176
506,Multiple-pathway,4,2,0.49401986598968506
507,Multiple-pathway,4,2,0.5092796087265015
508,Multiple-pathway,4,2,0.6247175931930542
509,Multiple-pathway,4,2,0.8615321516990662
510,Multiple-pathway,4,2,0.6424534916877747
511,Multiple-pathway,4,2,0.774710476398468
512,Multiple-pathway,4,2,0.7565320134162903
513,Multiple-pathway,4,2,0.5129305124282837
514,Multiple-pathway,4,2,0.6117062568664551
515,Multiple-pathway,4,2,0.587689995765686
516,Multiple-pathway,4,2,0.817229688167572
517,Multiple-pathway,4,2,0.7757815718650818
518,Multiple-pathway,4,2,0.6013397574424744
519,Multiple-pathway,4,2,0.7985137701034546
520,Multiple-pathway,4,2,0.4601910710334778
521,Multiple-pathway,4,2,0.699228048324585
522,Multiple-pathway,4,2,0.680736243724823
523,Multiple-pathway,4,2,0.6713595986366272
524,Multiple-pathway,4,2,0.5377964377403259
525,Multiple-pathway,4,2,0.6468689441680908
526,Multiple-pathway,4,2,0.7556948661804199
527,Multiple-pathway,4,2,0.7529070377349854
528,Multiple-pathway,4,2,0.7109529376029968
529,Multiple-pathway,4,2,0.4688994884490967
530,Multiple-pathway,4,2,0.7280139923095703
531,Multiple-pathway,4,2,0.7853196859359741
532,Multiple-pathway,4,2,0.7834928035736084
533,Multiple-pathway,4,2,0.46782976388931274
534,Multiple-pathway,4,2,0.6923457980155945
535,Multiple-pathway,4,2,0.7413231730461121
536,Multiple-pathway,4,2,0.6889782547950745
537,Multiple-pathway,4,2,0.5635335445404053
538,Multiple-pathway,4,2,0.6009684801101685
539,Multiple-pathway,4,2,0.7738333940505981
540,Multiple-pathway,4,2,0.6325035095214844
541,Multiple-pathway,4,2,0.7128353118896484
542,Multiple-pathway,4,2,0.6361322999000549
543,Multiple-pathway,4,2,0.637630045413971
544,Multiple-pathway,4,2,0.5044110417366028
545,Multiple-pathway,4,2,0.5701156854629517
546,Multiple-pathway,4,2,0.6659189462661743
547,Multiple-pathway,4,2,0.6247553825378418
548,Multiple-pathway,4,2,0.6537128686904907
549,Multiple-pathway,4,2,0.6758295297622681
550,Multiple-pathway,4,2,0.6829947233200073
551,Multiple-pathway,4,2,0.7181662917137146
552,Multiple-pathway,4,2,0.7385920882225037
553,Multiple-pathway,4,2,0.5397413969039917
554,Multiple-pathway,4,2,0.7815217971801758
555,Multiple-pathway,4,2,0.6748422980308533
556,Multiple-pathway,4,2,0.5477221012115479
557,Multiple-pathway,4,2,0.7022444605827332
558,Multiple-pathway,4,2,0.5964956879615784
559,Multiple-pathway,4,2,0.6995049715042114
560,Multiple-pathway,4,2,0.583004355430603
561,Multiple-pathway,4,2,0.6316875219345093
562,Multiple-pathway,4,2,0.738884449005127
563,Multiple-pathway,4,2,0.615159273147583
564,Multiple-pathway,4,2,0.7208281755447388
565,Multiple-pathway,4,2,0.7406933903694153
566,Multiple-pathway,4,2,0.6822131872177124
567,Multiple-pathway,4,2,0.6305816769599915
568,Multiple-pathway,4,2,0.7485111355781555
569,Multiple-pathway,4,2,0.7426943182945251
570,Multiple-pathway,4,2,0.5753253698348999
571,Multiple-pathway,4,2,0.5862009525299072
572,Multiple-pathway,4,2,0.5759657621383667
573,Multiple-pathway,4,2,0.5690813660621643
574,Multiple-pathway,4,2,0.43669024109840393
575,Multiple-pathway,4,2,0.5643330216407776
576,Multiple-pathway,4,2,0.6515880823135376
577,Multiple-pathway,4,2,0.5040206909179688
578,Multiple-pathway,4,2,0.7132294774055481
579,Multiple-pathway,4,2,0.554096519947052
580,Multiple-pathway,4,2,0.6664155721664429
581,Multiple-pathway,4,2,0.6802724599838257
582,Multiple-pathway,4,2,0.6013756394386292
