,condition,layer_n,k,story_merged
403,Multiple-pathway,4,2,0.02702702702702703
404,Multiple-pathway,4,2,0.027777777777777776
405,Multiple-pathway,4,2,0.02702702702702703
406,Multiple-pathway,4,2,0.11363636363636363
407,Multiple-pathway,4,2,0.0625
408,Multiple-pathway,4,2,0.0784313725490196
409,Multiple-pathway,4,2,0.03225806451612903
410,Multiple-pathway,4,2,0.10256410256410256
411,Multiple-pathway,4,2,0.10526315789473684
412,Multiple-pathway,4,2,0.037037037037037035
413,Multiple-pathway,4,2,0.1
414,Multiple-pathway,4,2,0.043478260869565216
415,Multiple-pathway,4,2,0.1044776119402985
416,Multiple-pathway,4,2,0.03571428571428571
417,Multiple-pathway,4,2,0.06666666666666667
418,Multiple-pathway,4,2,0.09375
419,Multiple-pathway,4,2,0.047619047619047616
420,Multiple-pathway,4,2,0.11290322580645161
421,Multiple-pathway,4,2,0.029411764705882353
422,Multiple-pathway,4,2,0.0
423,Multiple-pathway,4,2,0.0547945205479452
424,Multiple-pathway,4,2,0.10810810810810811
425,Multiple-pathway,4,2,0.10638297872340426
426,Multiple-pathway,4,2,0.029411764705882353
427,Multiple-pathway,4,2,0.11538461538461539
428,Multiple-pathway,4,2,0.12903225806451613
429,Multiple-pathway,4,2,0.05357142857142857
430,Multiple-pathway,4,2,0.029411764705882353
431,Multiple-pathway,4,2,0.08196721311475409
432,Multiple-pathway,4,2,0.09259259259259259
433,Multiple-pathway,4,2,0.0425531914893617
434,Multiple-pathway,4,2,0.029411764705882353
435,Multiple-pathway,4,2,0.08333333333333333
436,Multiple-pathway,4,2,0.1016949152542373
437,Multiple-pathway,4,2,0.06521739130434782
438,Multiple-pathway,4,2,0.12
439,Multiple-pathway,4,2,0.045454545454545456
440,Multiple-pathway,4,2,0.12903225806451613
441,Multiple-pathway,4,2,0.09433962264150944
442,Multiple-pathway,4,2,0.07692307692307693
443,Multiple-pathway,4,2,0.1111111111111111
444,Multiple-pathway,4,2,0.08
445,Multiple-pathway,4,2,0.03125
446,Multiple-pathway,4,2,0.06153846153846154
447,Multiple-pathway,4,2,0.1
448,Multiple-pathway,4,2,0.1
449,Multiple-pathway,4,2,0.05084745762711865
450,Multiple-pathway,4,2,0.1111111111111111
451,Multiple-pathway,4,2,0.038461538461538464
452,Multiple-pathway,4,2,0.08
453,Multiple-pathway,4,2,0.08571428571428572
454,Multiple-pathway,4,2,0.16
455,Multiple-pathway,4,2,0.04081632653061224
456,Multiple-pathway,4,2,0.07936507936507936
457,Multiple-pathway,4,2,0.05660377358490566
458,Multiple-pathway,4,2,0.07936507936507936
459,Multiple-pathway,4,2,0.06557377049180328
460,Multiple-pathway,4,2,0.08823529411764706
461,Multiple-pathway,4,2,0.038461538461538464
462,Multiple-pathway,4,2,0.1111111111111111
463,Multiple-pathway,4,2,0.12
464,Multiple-pathway,4,2,0.08333333333333333
465,Multiple-pathway,4,2,0.09090909090909091
466,Multiple-pathway,4,2,0.058823529411764705
467,Multiple-pathway,4,2,0.044444444444444446
468,Multiple-pathway,4,2,0.08064516129032258
469,Multiple-pathway,4,2,0.09090909090909091
470,Multiple-pathway,4,2,0.05263157894736842
471,Multiple-pathway,4,2,0.15151515151515152
472,Multiple-pathway,4,2,0.08333333333333333
473,Multiple-pathway,4,2,0.09523809523809523
474,Multiple-pathway,4,2,0.08571428571428572
475,Multiple-pathway,4,2,0.07317073170731707
476,Multiple-pathway,4,2,0.1111111111111111
477,Multiple-pathway,4,2,0.13333333333333333
